Version,Type,Country,PubMed,DOI,ISBN,ExternalURL
EQ-5D-5L,VT,Romania,35688994,10.1007/s10198-022-01481-7,,
EQ-5D-5L,VT,SaudiArabia,38342365,10.1016/j.jval.2024.01.017,,
EQ-5D-5L,VT,Singapore,40880001,10.1007/s40273-025-01519-7,,
EQ-5D-5L,VT,Slovenia,37341959,10.1007/s40273-023-01280-9,,
EQ-5D-5L,VT,SouthKorea,26961008,10.1007/s11136-015-1205-2,,
EQ-5D-5L,VT,Spain,29753358,10.1016/j.jval.2017.10.023,,
EQ-5D-5L,VT,Sweden_2020,32307663,10.1007/s40273-020-00905-7,,
EQ-5D-5L,VT,Sweden_2022,36564844,10.1186/s12955-022-02083-w,,
EQ-5D-5L,VT,Taiwan,30586400,10.1371/journal.pone.0209344,,
EQ-5D-5L,VT,Thailand,29958008,10.1080/14737167.2018.1494574,,
EQ-5D-5L,VT,Trinidad_and_Tobago,38956543,10.1186/s12955-024-02266-7,,
EQ-5D-5L,VT,UAE,39880198,10.1016/j.jval.2025.01.003,,
EQ-5D-5L,VT,Uganda,34841471,10.1007/s40273-021-01101-x,,
EQ-5D-5L,VT,Uruguay,26242249,10.1007/s11136-015-1086-4,,
EQ-5D-5L,VT,USA,31426935,10.1016/j.jval.2019.02.009,,
EQ-5D-5L,VT,Vietnam,32221805,10.1007/s11136-020-02469-7,,
EQ-5D-5L,VT,WePP,29063633,10.1002/hec.3606,,
EQ-5D-5L,CW,Bermuda,38982011,10.1007/s10198-024-01701-2,,
EQ-5D-5L,CW,Denmark,22867780,10.1016/j.jval.2012.02.008,,
EQ-5D-5L,CW,France,22867780,10.1016/j.jval.2012.02.008,,
EQ-5D-5L,CW,Germany,22867780,10.1016/j.jval.2012.02.008,,
EQ-5D-5L,CW,Japan,22867780,10.1016/j.jval.2012.02.008,,
EQ-5D-5L,CW,Jordan,39225720,10.1007/s10198-024-01712-z,,
EQ-5D-5L,CW,Netherlands,22867780,10.1016/j.jval.2012.02.008,,
EQ-5D-5L,CW,Russia,33713323,10.1007/s11136-021-02804-6,,
EQ-5D-5L,CW,Spain,22867780,10.1016/j.jval.2012.02.008,,
EQ-5D-5L,CW,Thailand,22867780,10.1016/j.jval.2012.02.008,,
EQ-5D-5L,CW,UK,22867780,10.1016/j.jval.2012.02.008,,
EQ-5D-5L,CW,USA,22867780,10.1016/j.jval.2012.02.008,,
EQ-5D-5L,CW,Zimbabwe,22867780,10.1016/j.jval.2012.02.008,,
EQ-5D-Y-3L,IVP,Australia,40660259,10.1186/s12955-025-02402-x,,
EQ-5D-Y-3L,IVP,Belgium,36316544,10.1007/s40273-022-01187-x,,
EQ-5D-Y-3L,IVP,Brazil,38954389,10.1007/s40273-024-01404-9,,
EQ-5D-Y-3L,IVP,China,36396878,10.1007/s40273-022-01216-9,,
EQ-5D-Y-3L,IVP,Germany,35604633,10.1007/s40273-022-01143-9,,
EQ-5D-Y-3L,IVP,Hungary,36123448,10.1007/s40273-022-01190-2,,
EQ-5D-Y-3L,IVP,Indonesia,36348155,10.1007/s40273-022-01210-1,,
EQ-5D-Y-3L,IVP,Japan,33754886,10.1177/0272989X211001859,,
EQ-5D-Y-3L,IVP,Netherlands,36216977,10.1007/s40273-022-01192-0,,
EQ-5D-Y-3L,IVP,Slovenia,33565048,10.1007/s40273-020-00994-4,,
EQ-5D-Y-3L,IVP,Spain,35500952,10.1016/j.jval.2021.10.013,,
EQ-5D-3L,DSU,China,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-3L,DSU,Germany,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-3L,DSU,Japan,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-3L,DSU,Netherlands,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-3L,DSU,SouthKorea,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-3L,DSU,Spain,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-3L,DSU,UK,36449173,10.1007/s40273-022-01218-7,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-5L,DSU,China,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-5L,DSU,Germany,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-5L,DSU,Japan,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-5L,DSU,Netherlands,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-5L,DSU,SouthKorea,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-5L,DSU,Spain,,,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
EQ-5D-5L,DSU,UK,36449173,10.1007/s40273-022-01218-7,,https://sheffield.ac.uk/nice-dsu/methods-development/mapping-eq-5d-5l-3l
